Time;Date;1_Feed_FLOW_CF01_PV;1_Feed_FLOW_CF01_SV;1_Feed_FLOW_CF02_PV;1_Feed_FLOW_CF02_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF06_SV;1_Feed_FLOW_CF06_SV
0:00:12;24/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:00:32;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:00:52;24/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:01:12;24/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:01:32;24/12/2015;-0.34375;0;0;0;0;0;0;0;0;0;0;0
0:01:52;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:02:12;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:02:32;24/12/2015;-0.3375;0;0;0;0;0;0;0;0;0;0;0
0:02:52;24/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:03:12;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:03:32;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:03:52;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:04:12;24/12/2015;-0.34375;0;0;0;0;0;0;0;0;0;0;0
0:04:32;24/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:04:52;24/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:05:12;24/12/2015;-0.3375;0;0;0;0;0;0;0;0;0;0;0
0:05:32;24/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:05:52;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:06:12;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:06:32;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:06:52;24/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:07:12;24/12/2015;-0.3375;0;0;0;0;0;0;0;0;0;0;0
0:07:32;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:07:52;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:08:12;24/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:08:32;24/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:08:52;24/12/2015;-0.3375;0;0;0;0;0;0;0;0;0;0;0
0:09:12;24/12/2015;-0.35;0;0;0;0;0;0;0;0;0;0;0
0:09:32;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:09:52;24/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
