Time;Date;PI-01 Liquid_HC;PI-02 Gas_HC;PI-03 Inert;PI-04 H2O;PI-05 Elicra;PI-06 Nabertherm;PI-07 Outlet Reactor;PI-08 RGA Effluent Inlet
0:00:12;24/12/2015;4.701968E-03;0.6291595;1.193576E-02;0.5038339;6.944444E-03;-3.555556;-2.734375E-02;-6.076389E-03
0:00:32;24/12/2015;4.701968E-03;0.6293403;1.265914E-02;0.5032914;6.510417E-03;-3.555556;-2.745226E-02;-6.293403E-03
0:00:52;24/12/2015;4.340278E-03;0.6293403;1.211661E-02;0.5034722;6.510417E-03;-3.555556;-2.723524E-02;-6.076389E-03
0:01:12;24/12/2015;4.521123E-03;0.629702;1.211661E-02;0.5034722;6.618924E-03;-3.555556;-2.756076E-02;-6.184896E-03
0:01:32;24/12/2015;4.159433E-03;0.6293403;0.0124783;0.5034722;6.40191E-03;-3.555556;-2.734375E-02;-6.293403E-03
0:01:52;24/12/2015;5.244502E-03;0.629702;1.175492E-02;0.5034722;6.727431E-03;-3.555556;-2.777778E-02;-6.293403E-03
0:02:12;24/12/2015;5.063657E-03;0.6293403;1.157407E-02;0.503653;6.618924E-03;-3.555556;-2.734375E-02;-5.967882E-03
0:02:32;24/12/2015;5.063657E-03;0.6298828;1.193576E-02;0.5029297;6.618924E-03;-3.555556;-2.734375E-02;-6.40191E-03
0:02:52;24/12/2015;4.882813E-03;0.6300637;1.229745E-02;0.503653;6.40191E-03;-3.555556;-2.723524E-02;-6.184896E-03
0:03:12;24/12/2015;4.701968E-03;0.6295211;1.229745E-02;0.5032914;6.944444E-03;-3.555556;-2.745226E-02;-6.510417E-03
0:03:32;24/12/2015;4.340278E-03;0.6293403;1.229745E-02;0.5032914;6.618924E-03;-3.555556;-2.723524E-02;-6.184896E-03
0:03:52;24/12/2015;5.244502E-03;0.629702;1.193576E-02;0.503653;6.727431E-03;-3.555556;-2.712674E-02;-6.40191E-03
0:04:12;24/12/2015;5.244502E-03;0.6298828;0.0124783;0.503653;6.618924E-03;-3.555556;-2.701823E-02;-6.40191E-03
0:04:32;24/12/2015;4.701968E-03;0.6295211;1.229745E-02;0.503653;6.618924E-03;-3.555556;-2.701823E-02;-6.40191E-03
0:04:52;24/12/2015;5.967882E-03;0.629702;0.0124783;0.5034722;6.510417E-03;-3.555556;-2.701823E-02;-6.40191E-03
0:05:12;24/12/2015;5.425347E-03;0.6298828;1.211661E-02;0.5032914;6.618924E-03;-3.555556;-2.745226E-02;-6.184896E-03
0:05:32;24/12/2015;4.521123E-03;0.629702;1.229745E-02;0.5034722;6.618924E-03;-3.555556;-2.723524E-02;-6.40191E-03
0:05:52;24/12/2015;4.701968E-03;0.6293403;1.283999E-02;0.5031105;6.727431E-03;-3.555556;-2.734375E-02;-6.293403E-03
0:06:12;24/12/2015;4.882813E-03;0.629702;1.229745E-02;0.5031105;6.40191E-03;-3.555556;-2.756076E-02;-6.184896E-03
0:06:32;24/12/2015;4.521123E-03;0.6302446;1.175492E-02;0.5032914;6.184896E-03;-3.555556;-2.734375E-02;-6.293403E-03
