simulation names,InChI
C3H6OOH2-1O2,"1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3"
NC3H7O2H,"1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3"
IC3H7O2H,"1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3"
NC3H7O2,"1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3"
IC3H7O2,"1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3"
NC3H7O,"1S/C3H7O/c1-2-3-4/h2-3H2,1H3"
IC3H7O,"1S/C3H7O/c1-3(2)4/h3H,1-2H3"
C3H6O1-2,"1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3"
C3H6O1-3,1S/C3H6O/c1-2-4-3-1/h1-3H2
C3KET12,"1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3"
C3KET13,"1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2"
"C3H51-2,3OOH","1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2"
"C3H52-1,3OOH","1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2"
C3H5O1-2OOH-3,"1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2"
C3H5O1-3OOH-2,"1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2"
C3H6OH1-2,"1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3"
CH3CHCO,"1S/C3H4O/c1-2-3-4/h2H,1H3"
AC3H5OOH,"1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2"
C2H3OOH,"1S/C2H4O2/c1-2-4-3/h2-3H,1H2"
CC3H4,"1S/C3H4/c1-2-3-1/h1-2H,3H2"
H2CC,1S/C2H2/c1-2/H1h2
FULVENE,"1S/C6H6/c1-6-4-2-3-5-6/h2-5H,1H2"
CC3H6,1S/C3H6/c1-2-3-1/h1-3H2
C4H10,"1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
C4H8-1,"1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
C4H8-2,"1S/C4H8/c1-3-4-2/h3-4H,1-2H3"
PC4H9,"1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
SC4H9,"1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3"
C4H71-1,"1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3"
C4H71-2,"1S/C4H7/c1-3-4-2/h1,4H2,2H3"
C4H71-3,"1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3"
C4H71-4,"1S/C4H7/c1-3-4-2/h3H,1-2,4H2"
C4H72-2,"1S/C4H7/c1-3-4-2/h3H,1-2H3"
C4H6,"1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
PC4H9O2H,"1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3"
SC4H9O2H,"1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3"
PC4H9O2,"1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3"
SC4H9O2,"1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3"
PC4H9O,"1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3"
SC4H9O,"1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3"
C4H71-O,"1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3"
C4H8O1-2,"1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3"
C4H8O1-3,"1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3"
C4H8O1-4,1S/C4H8O/c1-2-4-5-3-1/h1-4H2
C4H8O2-3,"1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3"
SC4H8OH-3,"1S/C4H9O/c1-3-4(2)5/h3-5H,1-2H3"
C4H8OOH1-2,"1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3"
C4H8OOH1-3,"1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3"
C4H8OOH1-4,"1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2"
C4H8OOH2-1,"1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3"
C4H8OOH2-3,"1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3"
C4H8OOH2-4,"1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3"
C4H8OOH1-2O2,"1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-5H,2-3H2,1H3"
C4H8OOH1-3O2,"1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-5H,2-3H2,1H3"
C4H8OOH1-4O2,"1S/C4H9O4/c5-7-3-1-2-4-8-6/h5H,1-4H2"
C4H8OOH2-1O2,"1S/C4H9O4/c1-2-4(8-6)3-7-5/h4,6H,2-3H2,1H3"
C4H8OOH2-3O2,"1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-5H,1-2H3"
C4H8OOH2-4O2,"1S/C4H9O4/c1-4(8-6)2-3-7-5/h4,6H,2-3H2,1H3"
C4H72-1OOH,"1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3"
C4H71-4OOH,"1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2"
